RUNNER,AGE,GENDER,EVENT COUNT
409,N/A,N/A,2
410,N/A,N/A,9
411,N/A,N/A,0
412,N/A,N/A,2
413,N/A,N/A,0
414,N/A,N/A,1
415,N/A,N/A,3
416,N/A,N/A,2
417,N/A,N/A,1
418,N/A,N/A,1
419,N/A,N/A,9
420,N/A,N/A,4
421,N/A,N/A,14
422,N/A,N/A,1
423,N/A,N/A,2
424,N/A,N/A,7
425,N/A,N/A,3
426,N/A,N/A,1
427,N/A,N/A,0
428,N/A,N/A,5
429,N/A,N/A,0
430,N/A,N/A,1
431,N/A,N/A,1
432,N/A,N/A,8
433,N/A,N/A,1
434,N/A,N/A,3
435,N/A,N/A,0
436,N/A,N/A,0
437,N/A,N/A,3
438,N/A,N/A,3
439,N/A,N/A,0
440,N/A,N/A,1
441,N/A,N/A,1
442,N/A,N/A,12
443,N/A,N/A,15
444,N/A,N/A,0
445,N/A,N/A,2
446,N/A,N/A,1
447,N/A,N/A,1
448,N/A,N/A,0
449,N/A,N/A,2
450,N/A,N/A,1
451,N/A,N/A,1
452,N/A,N/A,1
453,N/A,N/A,1
454,N/A,N/A,0
455,N/A,N/A,2
456,N/A,N/A,3
457,N/A,N/A,0
458,N/A,N/A,0
459,N/A,N/A,1
460,N/A,N/A,1
461,N/A,N/A,5
462,N/A,N/A,1
463,N/A,N/A,10
464,N/A,N/A,1
465,N/A,N/A,1
466,N/A,N/A,1
467,N/A,N/A,0
468,N/A,N/A,2
469,N/A,N/A,0
470,N/A,N/A,1
471,N/A,N/A,0
472,N/A,N/A,1
473,N/A,N/A,1
474,N/A,N/A,2
475,N/A,N/A,5
476,N/A,N/A,22
477,N/A,N/A,2
478,N/A,N/A,2
479,N/A,N/A,0
480,N/A,N/A,1
481,N/A,N/A,9
482,N/A,N/A,9
483,N/A,N/A,17
484,N/A,N/A,1
485,N/A,N/A,0
486,N/A,N/A,19
487,N/A,N/A,1
488,N/A,N/A,0
489,N/A,N/A,4
490,N/A,N/A,2
491,N/A,N/A,0
492,N/A,N/A,2
493,N/A,N/A,0
494,N/A,N/A,0
495,N/A,N/A,3
496,N/A,N/A,0
497,N/A,N/A,3
498,N/A,N/A,1
499,N/A,N/A,1
500,N/A,N/A,3
501,N/A,N/A,1
502,N/A,N/A,0
503,N/A,N/A,2
504,N/A,N/A,0
505,N/A,N/A,1
506,N/A,N/A,1
507,N/A,N/A,5
508,N/A,N/A,0
509,N/A,N/A,0
510,N/A,N/A,4
511,N/A,N/A,0
512,N/A,N/A,2
513,N/A,N/A,2
514,N/A,N/A,1
515,N/A,N/A,10
516,N/A,N/A,1
517,N/A,N/A,3
518,N/A,N/A,0
519,N/A,N/A,0
520,N/A,N/A,0
521,N/A,N/A,3
522,N/A,N/A,1
523,N/A,N/A,1
524,N/A,N/A,0
525,N/A,N/A,0
526,N/A,N/A,0
527,N/A,N/A,1
528,N/A,N/A,2
529,N/A,N/A,2
530,N/A,N/A,4
531,N/A,N/A,5
532,N/A,N/A,1
533,N/A,N/A,2
534,N/A,N/A,0
535,N/A,N/A,0
536,N/A,N/A,2
537,N/A,N/A,0
538,N/A,N/A,0
539,N/A,N/A,0
540,N/A,N/A,0
541,N/A,N/A,1
542,N/A,N/A,0
543,N/A,N/A,1
544,N/A,N/A,0
545,N/A,N/A,6
546,N/A,N/A,1
547,N/A,N/A,0
548,N/A,N/A,4
549,N/A,N/A,14
550,N/A,N/A,1
551,N/A,N/A,17
552,N/A,N/A,0
553,N/A,N/A,0
554,N/A,N/A,3
555,N/A,N/A,2
556,N/A,N/A,0
557,N/A,N/A,5
558,N/A,N/A,1
559,N/A,N/A,0
560,N/A,N/A,0
561,N/A,N/A,1
562,N/A,N/A,1
563,N/A,N/A,1
564,N/A,N/A,7
565,N/A,N/A,0
566,N/A,N/A,0
567,N/A,N/A,0
568,N/A,N/A,1
569,N/A,N/A,1
570,N/A,N/A,0
571,N/A,N/A,1
572,N/A,N/A,1
573,N/A,N/A,3
574,N/A,N/A,0
575,N/A,N/A,0
576,N/A,N/A,1
577,N/A,N/A,15
578,N/A,N/A,0
579,N/A,N/A,1
580,N/A,N/A,0
581,N/A,N/A,1
582,N/A,N/A,1
583,N/A,N/A,4
584,N/A,N/A,0
585,N/A,N/A,0
586,N/A,N/A,3
587,N/A,N/A,0
588,N/A,N/A,4
589,N/A,N/A,5
590,N/A,N/A,3
591,N/A,N/A,1
592,N/A,N/A,2
593,N/A,N/A,2
594,N/A,N/A,5
595,N/A,N/A,1
596,N/A,N/A,1
597,N/A,N/A,1
598,N/A,N/A,0
599,N/A,N/A,1
600,N/A,N/A,4
601,N/A,N/A,1
602,N/A,N/A,0
603,N/A,N/A,3
604,N/A,N/A,0
605,N/A,N/A,0
606,N/A,N/A,3
607,N/A,N/A,0
608,N/A,N/A,0
609,N/A,N/A,4
610,N/A,N/A,13
611,N/A,N/A,1
612,N/A,N/A,0
613,N/A,N/A,15
614,N/A,N/A,0
615,N/A,N/A,2
616,N/A,N/A,0
617,N/A,N/A,0
618,N/A,N/A,0
619,N/A,N/A,1
620,N/A,N/A,1
621,N/A,N/A,0
622,N/A,N/A,1
623,N/A,N/A,0
624,N/A,N/A,2
625,N/A,N/A,0
626,N/A,N/A,1
627,N/A,N/A,0
628,N/A,N/A,7
629,N/A,N/A,4
630,N/A,N/A,0
631,N/A,N/A,1
632,N/A,N/A,2
633,N/A,N/A,0
634,N/A,N/A,3
635,N/A,N/A,4
636,N/A,N/A,1
637,N/A,N/A,1
638,N/A,N/A,6
639,N/A,N/A,0
640,N/A,N/A,0
641,N/A,N/A,0
642,N/A,N/A,4
643,N/A,N/A,0
644,N/A,N/A,0
645,N/A,N/A,5
646,N/A,N/A,0
647,N/A,N/A,0
648,N/A,N/A,1
649,N/A,N/A,11
650,N/A,N/A,3
651,N/A,N/A,1
652,N/A,N/A,0
653,N/A,N/A,9
654,N/A,N/A,12
655,N/A,N/A,1
656,N/A,N/A,0
657,N/A,N/A,4
658,N/A,N/A,1
659,N/A,N/A,2
660,N/A,N/A,1
661,N/A,N/A,5
662,N/A,N/A,1
663,N/A,N/A,0
664,N/A,N/A,2
665,N/A,N/A,2
666,N/A,N/A,1
667,N/A,N/A,8
668,N/A,N/A,2
669,N/A,N/A,5
670,N/A,N/A,0
671,N/A,N/A,4
672,N/A,N/A,1
673,N/A,N/A,4
674,N/A,N/A,3
675,N/A,N/A,0
676,N/A,N/A,7
677,N/A,N/A,6
678,N/A,N/A,0
679,N/A,N/A,2
680,N/A,N/A,1
681,N/A,N/A,5
682,N/A,N/A,0
683,N/A,N/A,0
684,N/A,N/A,3
685,N/A,N/A,0
686,N/A,N/A,0
687,N/A,N/A,8
688,N/A,N/A,0
689,N/A,N/A,1
690,N/A,N/A,3
691,N/A,N/A,2
692,N/A,N/A,3
693,N/A,N/A,0
694,N/A,N/A,1
695,N/A,N/A,0
696,N/A,N/A,0
697,N/A,N/A,0
698,N/A,N/A,0
699,N/A,N/A,14
700,N/A,N/A,0
701,N/A,N/A,0
702,N/A,N/A,0
703,N/A,N/A,0
704,N/A,N/A,1
705,N/A,N/A,4
706,N/A,N/A,1
707,N/A,N/A,0
708,N/A,N/A,7
709,N/A,N/A,0
710,N/A,N/A,1
711,N/A,N/A,2
712,N/A,N/A,2
713,N/A,N/A,0
714,N/A,N/A,1
715,N/A,N/A,0
716,N/A,N/A,1
717,N/A,N/A,0
718,N/A,N/A,1
719,N/A,N/A,1
720,N/A,N/A,1
721,N/A,N/A,16
722,N/A,N/A,4
723,N/A,N/A,0
724,N/A,N/A,6
725,N/A,N/A,0
726,N/A,N/A,1
727,N/A,N/A,1
728,N/A,N/A,0
729,N/A,N/A,0
730,N/A,N/A,0
731,N/A,N/A,1
732,N/A,N/A,0
733,N/A,N/A,2
734,N/A,N/A,4
735,N/A,N/A,0
736,N/A,N/A,4
737,N/A,N/A,3
738,N/A,N/A,5
739,N/A,N/A,0
740,N/A,N/A,4
741,N/A,N/A,1
742,N/A,N/A,0
743,N/A,N/A,0
744,N/A,N/A,3
745,N/A,N/A,2
746,N/A,N/A,0
747,N/A,N/A,0
748,N/A,N/A,2
