RUNNER,GENDER,AGE,RAN 2011,RAN 2012,RAN 2013,RAN 2014,RAN 2015,EVENT COUNT,AVG_DIST,RUN_RATIO,TIME_WEIGHT,TOTAL DISTANCE,PERFORMANCE,AVG SPEED
862,M,33,0,0,1,1,0,8,22.1985714286,0.875,1.125,154.39,4212.6270375,2.1668741227
3430,F,36,0,1,1,1,0,4,23.073125,1.0,2.25,92.2925,2706.52253125,2.5758762015
4043,M,52,0,0,1,1,1,7,7.15678571429,1.0,1.57142857143,57.0975,705.10450625,2.61308051307
2778,M,43,0,0,1,1,1,6,39.756,0.833333333333,1.16666666667,269.975,10703.090125,1.91146805693
7315,M,24,0,1,1,0,0,2,31.64625,1.0,2.5,63.2925,2225.52253125,2.55527432618
6992,F,33,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,1.82118347792
6179,M,38,0,0,0,1,0,1,21.0975,1.0,1.0,21.0975,445.10450625,2.22336389504
423,M,60,0,1,1,0,0,2,42.195,0.5,2.5,41.195,1781.418025,1.47638208537
3912,M,34,0,0,1,1,1,2,21.0975,1.0,1.5,84.39,2670.6270375,3.2743678393
1037,F,65,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,1.84418706294
3276,F,38,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.1567675322
6794,M,39,0,1,1,0,0,11,28.6975,0.909090909091,2.36363636364,284.975,9579.8811125,3.04787320646
8269,M,59,0,0,1,1,0,4,22.7641666667,0.75,1.5,67.2925,2251.52253125,2.3656232961
1745,M,53,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,3.1737495299
4683,F,39,0,0,1,0,0,4,24.4308333333,0.75,2.0,72.2925,2326.52253125,1.84290944791
1678,F,25,0,1,1,0,0,3,42.195,0.666666666667,2.33333333333,83.39,3561.83605,2.01991372363
7393,M,58,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.59055746562
4703,F,40,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.43170816044
4817,M,55,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.4233287388
2863,M,44,0,1,1,1,1,13,18.6313888889,0.692307692308,1.92307692308,162.6825,5001.14956875,2.1296226087
794,F,35,0,1,1,0,0,7,17.3983333333,0.857142857143,2.42857142857,103.39,2821.6270375,2.31123589702
4106,M,59,0,1,1,1,0,5,29.517,1.0,2.2,147.585,4892.0450625,2.34817526168
1781,M,43,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.74242818146
5517,M,46,0,0,1,1,0,2,31.64625,1.0,1.5,63.2925,2225.52253125,1.79005325737
5559,M,57,0,1,0,1,0,2,42.195,1.0,2.0,84.39,3560.83605,2.52579484162
1423,M,48,0,0,0,1,0,1,21.0975,1.0,1.0,21.0975,445.10450625,3.32820634169
6282,F,22,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.06322429221
2030,M,43,0,0,0,1,0,2,31.0975,1.0,1.0,62.195,2180.418025,3.20291803947
4093,M,24,0,0,1,1,0,2,42.195,0.5,1.5,41.195,1781.418025,2.00441572358
6628,M,58,0,0,0,1,1,1,42.195,1.0,1.0,40.195,1782.418025,0.614304762064
2713,M,33,0,1,1,1,1,6,12.2195,0.833333333333,2.5,112.2925,2726.52253125,3.45127983474
7592,F,38,0,0,1,0,1,1,5.0,1.0,2.0,10.0,50.0,2.44025381012
2910,M,50,0,0,1,1,1,8,17.7560714286,0.875,1.375,167.39,3739.6270375,2.98684942195
1130,M,23,0,0,0,1,1,4,38.13,0.75,1.0,172.39,6262.83605,1.69633175773
5479,F,38,0,1,0,1,0,3,20.7316666667,1.0,1.66666666667,62.195,1980.418025,2.63896256621
4879,F,22,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.59071652238
6582,M,33,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.37223815146
2280,M,35,0,0,0,1,1,2,31.64625,1.0,1.0,91.39,2773.6270375,1.99691937345
1167,M,35,0,1,1,1,0,22,20.0325,0.272727272727,1.95454545455,104.195,3266.418025,0.937022098079
924,M,56,0,1,1,1,1,4,31.79875,1.0,1.75,201.195,10531.418025,2.56342421037
8411,M,39,0,0,1,0,1,2,21.0975,0.5,2.0,62.2925,2226.52253125,1.66698548428
8215,F,32,0,1,1,1,1,11,25.3832142857,0.636363636364,2.18181818182,168.6825,5405.14956875,1.34338297054
2874,M,61,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.93367169575
854,M,35,0,1,1,0,0,3,31.64625,0.666666666667,2.33333333333,62.2925,2226.52253125,1.74258348395
1544,F,39,0,0,1,1,1,2,21.0975,1.0,1.5,84.39,2670.6270375,2.47688383719
6283,F,45,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.73762408357
7123,M,44,0,1,1,1,1,11,26.2086111111,0.818181818182,2.09090909091,243.8775,8356.77660625,2.89998965176
367,M,35,0,1,1,0,0,2,42.195,0.5,2.5,41.195,1781.418025,-0.0800384184409
1991,M,34,0,0,1,0,1,1,42.195,1.0,2.0,84.39,3560.83605,2.24722494356
5064,F,41,0,1,1,0,1,3,21.0975,0.666666666667,2.33333333333,83.39,2671.6270375,2.70490343331
7164,M,56,0,0,1,1,1,7,20.065,0.857142857143,1.71428571429,153.4875,3809.73154375,2.26185499206
706,M,41,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.36483253589
4529,M,53,0,0,0,1,1,1,5.0,1.0,1.0,71.0975,1445.10450625,4.36214084157
